event,development_year,mam_roni,jja_roni,mam_to_jja_change,is_2026,jja_rank,development_rank
1957–58,1957,0.8,1.0,0.19999999999999996,False,6,10
1965–66,1965,0.4,1.3,0.9,False,3,3
1972–73,1972,0.5,1.1,0.6000000000000001,False,5,5
1982–83,1982,0.5,0.9,0.4,False,7,8
1986–87,1986,-0.1,0.3,0.4,False,10,8
1991–92,1991,0.4,0.9,0.5,False,7,7
1997–98,1997,0.5,1.5,1.0,False,1,2
2009–10,2009,-0.4,0.4,0.8,False,9,4
2015–16,2015,0.7,1.3,0.6000000000000001,False,3,5
2026–27,2026,0.0,1.4,1.4,True,2,1
